,name,nationality_1,nationality_2,team,jersey,position_1,position_2,archetype,height_feet,height_cm,weight_lbs,weight_kg,wingspan_feet,wingspan_cm,season_salary,years_in_the_nba,birthdate,hometown,prior_to_nba
439,Royce O’Neale,United States,,Phoenix Suns,00,SF,PF,Versatile Stopper,"6'6""",198,226,102,"6'10""",208,9375000,10,"June 5, 1993","Killeen, Texas",Baylor
440,Rudy Gobert,France,,Minnesota Timberwolves,27,C,,Defensive Anchor,"7'1""",216,258,116,"7'9""",236,43827586,12,"June 26, 1992","Saint-Quentin, France",France
441,Rui Hachimura,Japan,,Los Angeles Lakers,28,SF,PF,Shot-Creating 3-Level Threat,"6'8""",203,230,104,"7'2""",218,17000000,6,"February 8, 1998","Toyama, Japan",Gonzaga
442,Russell Westbrook,United States,,Denver Nuggets,4,PG,,Rim Protector,"6'4""",193,200,90,"6'8""",203,4027525,17,"November 12, 1988","Long Beach, California",UCLA
443,Ryan Dunn,United States,,Phoenix Suns,0,SF,PF,Versatile Stopper,"6'8""",203,208,94,"7'0""",213,2530800,1,"January 7, 2003","Brookville, New York",Virginia
444,Ryan Rollins,United States,,Milwaukee Bucks,13,PG,SG,Mid-Range Scoring Threat,"6'3""",191,180,81,"6'10""",208,600000,3,"July 3, 2002","Detroit, Michigan",Toledo
445,Saddiq Bey,United States,,Washington Wizards,14,SF,PF,Perimeter Defender,"6'7""",201,215,97,"6'11""",211,6440678,5,"April 9, 1999","Charlotte, North Carolina",Villanova
446,Sam Hauser,United States,,Boston Celtics,30,SF,PF,Catch & Shoot Ace,"6'7""",201,217,98,"6'9""",206,2092344,4,"December 8, 1997","Green Bay, Wisconsin",Virginia
447,Sam Merrill,United States,,Cleveland Cavaliers,5,SG,PG,Perimeter Shot Creator,"6'4""",193,205,92,"6'5""",196,2164993,5,"May 15, 1996","Salt Lake City, Utah",Utah State
448,Sandro Mamukelashvili,Georgia,United States,San Antonio Spurs,54,PF,C,Board Hunter,"6'9""",206,240,108,"7'1""",216,,4,"May 23, 1999","New York, New York",Seton Hall
449,Santi Aldama,Spain,,Memphis Grizzlies,7,PF,SF,Stretch Four,"7'0""",213,215,97,"6'11""",211,3960531,4,"January 10, 2001","Las Palmas, Spain",Loyola
450,Scoot Henderson,United States,,Portland Trail Blazers,00,PG,SG,3-Level Slasher,"6'3""",191,195,88,"6'9""",206,10259160,2,"February 3, 2004","Marietta, Georgia",NBA G League Ignite
451,Scottie Barnes,United States,,Toronto Raptors,4,PF,SF,2-Way 3-Level Shot Creator,"6'7""",201,225,101,"7'3""",221,10130980,4,"August 1, 2001","West Palm Beach, Florida",Florida State
452,Scotty Pippen Jr.,United States,,Memphis Grizzlies,1,PG,,Perimeter Threat,"6'1""",185,170,77,"6'5""",196,,3,"November 10, 2000","Portland, Oregon",Vanderbilt
453,Seth Curry,United States,,Charlotte Hornets,30,SG,PG,Inside-Out Shot Creator,"6'1""",185,185,83,"6'4""",193,2087519,12,"August 23, 1990","Charlotte, North Carolina",Duke
454,Seth Lundy,United States,,Atlanta Hawks,3,SF,SG,Mid-Range Scoring Threat,"6'4""",193,220,99,"6'10""",208,,2,"April 2, 2000","Paulsboro, New Jersey",Penn State
455,Shaedon Sharpe,Canada,,Portland Trail Blazers,17,SG,SF,High Flyer,"6'5""",196,200,90,"7'0""",213,6614160,3,"May 30, 2003","London, Canada",Kentucky
456,Shai Gilgeous-Alexander,Canada,,Oklahoma City Thunder,2,PG,SG,All-Around Star,"6'6""",198,195,88,"7'0""",213,35859950,7,"July 12, 1998","Toronto, Canada",Kentucky
457,Shake Milton,United States,,Brooklyn Nets,7,PG,SG,Mid-Range Specialist,"6'5""",196,205,92,"7'1""",216,2875000,7,"September 26, 1996","Owasso, Oklahoma",SMU
458,Sidy Cissoko,France,,San Antonio Spurs,25,SF,PF,Ball Hawk,"6'6""",198,200,90,"6'10""",208,1891857,2,"April 2, 2004","Saint-Maurice, France",NBA G League Ignite
459,Simone Fontecchio,Italy,,Detroit Pistons,19,SF,PF,Catch & Shoot Ace,"6'7""",201,209,94,"6'11""",211,7692308,8,"December 9, 1995","Pescara, Italy",Italy
460,Spencer Dinwiddie,United States,,Dallas Mavericks,26,PG,SG,Playmaking Inside-Out Threat,"6'5""",196,215,97,"6'8""",203,,11,"April 6, 1993","Los Angeles, California",Colorado
461,Stanley Umude,United States,,Milwaukee Bucks,17,SF,SG,3 & D Threat,"6'6""",198,210,95,"6'10""",208,,3,"April 12, 1999","Portland, Oregon",Arkansas
462,Stephen Curry,United States,,Golden State Warriors,30,PG,SG,Offensive Architect,"6'2""",188,185,83,"6'4""",193,55761216,16,"March 14, 1988","Akron, Ohio",Davidson
463,Stephon Castle,United States,,San Antonio Spurs,5,SG,PG,Defensive Menace,"6'7""",201,205,92,"6'11""",211,9105120,1,"November 1, 2004","Covington, Georgia",UConn
464,Steven Adams,New Zealand,,Houston Rockets,12,C,,Defensive Anchor,"6'11""",211,265,119,"7'5""",226,12600000,12,"July 20, 1993","Rotorua, New Zealand",Pittsburgh
465,Svi Mykhailiuk,Ukraine,,Utah Jazz,19,SG,SF,Catch & Shoot Ace,"6'7""",201,205,92,"6'5""",196,,7,"June 10, 1997","Cherkasy, Ukraine",Kansas
466,Taj Gibson,United States,,Charlotte Hornets,67,C,,Inside the Arc Threat,"6'9""",206,232,104,"7'4""",224,2087519,16,"June 24, 1985","Brooklyn, New York",Southern California
467,Talen Horton-Tucker,United States,,Chicago Bulls,11,SG,SF,Inside-Out Combo Guard,"6'4""",193,234,105,"7'1""",216,,6,"November 25, 2000","Chicago, Illinois",Iowa State
468,Tari Eason,United States,,Houston Rockets,17,PF,SF,3-Level Scoring Threat,"6'8""",203,215,97,"7'2""",218,3695160,3,"May 10, 2001","Portsmouth, Virginia",LSU
469,Taurean Prince,United States,,Milwaukee Bucks,12,SF,PF,Catch & Shoot Ace,"6'6""",198,218,98,"7'0""",213,2087519,9,"March 22, 1994","San Marcos, Texas",Baylor
470,Taylor Hendricks,United States,,Utah Jazz,0,PF,SF,3-Level Scoring Threat,"6'9""",206,215,97,"7'1""",216,5848680,2,"November 22, 2003","Fort Lauderdale, Florida",UCF
471,Terance Mann,United States,,Los Angeles Clippers,14,SG,SF,Inside-Out Shot Creator,"6'5""",196,215,97,"6'8""",203,11423077,6,"October 18, 1996","Brooklyn, New York",Florida State
472,Terrence Shannon Jr.,United States,,Minnesota Timberwolves,00,SG,SF,Shot-Creating 3-Level Threat,"6'6""",198,215,97,"6'8""",203,2546640,1,"July 30, 2000","Chicago, Illinois",Illinois
473,Terry Rozier III,United States,,Miami Heat,2,PG,SG,3-Level Scoring Playmaker,"6'1""",185,190,86,"6'8""",203,24924126,10,"March 17, 1994","Youngstown, Ohio",Louisville
474,Thomas Bryant,United States,,Miami Heat,31,C,,Board-Hunting Lob Threat,"6'10""",208,255,115,"7'6""",229,2087519,8,"July 31, 1997","Rochester, New York",Indiana
475,Tidjane Salaun,France,,Charlotte Hornets,31,PF,SF,Interior Threat,"6'10""",208,203,91,"7'2""",218,7488720,1,"August 10, 2005","Paris, France","Cholet Basket (LNB Pro A, France)"
476,Tim Hardaway Jr.,United States,,Detroit Pistons,8,SG,SF,Shot-Creating 3-Level Threat,"6'5""",196,205,92,"6'7""",201,16193183,12,"March 16, 1992","Alameda, California",Michigan
477,T.J. McConnell,United States,,Indiana Pacers,9,PG,,2-Way Perimeter Playmaker,"6'1""",185,190,86,"6'2""",188,9300000,10,"March 25, 1992","Pittsburgh, Pennsylvania",Arizona
478,Tobias Harris,United States,,Detroit Pistons,12,PF,SF,Balanced Offensive Four,"6'8""",203,226,102,"6'11""",211,25365854,14,"July 15, 1992","Islip, New York",Tennessee
479,Torrey Craig,United States,,Chicago Bulls,13,PF,SF,Stretch Four,"6'5""",196,221,99,"6'11""",211,2845342,11,"December 19, 1990","Columbia, South Carolina",USC Upstate
480,Tosan Evbuomwan,United Kingdom,,Detroit Pistons,18,PF,SF,Skilled Stretch,"6'7""",201,217,98,"6'11""",211,,2,"February 16, 2001","Newcastle, England",Princeton
481,Toumani Camara,Belgium,,Portland Trail Blazers,33,PF,SF,Stretch Four,"6'7""",201,220,99,"7'1""",216,1891857,2,"May 8, 2000","Brussels, Belgium",Dayton
482,Trae Young,United States,,Atlanta Hawks,11,PG,,Offense-Heavy Point,"6'1""",185,164,74,"6'3""",191,43031940,7,"September 19, 1998","Lubbock, Texas",Oklahoma
483,Trayce Jackson-Davis,United States,,Golden State Warriors,32,C,PF,Board-Hunting Lob Threat,"6'9""",206,245,110,"7'0""",213,1891857,2,"February 22, 2000","Greenwood, Indiana",Indiana
484,Tre Jones,United States,,San Antonio Spurs,33,PG,,Playmaking Inside-Out Threat,"6'1""",185,185,83,"6'4""",193,9104167,5,"January 8, 2000","Apple Valley, Minnesota",Duke
485,Tre Mann,United States,,Charlotte Hornets,23,SG,PG,Shot-Creating 3-Level Threat,"6'3""",191,178,80,"6'4""",193,4908373,4,"February 3, 2001","Gainesville, Florida",Florida
486,Trendon Watford,United States,,Brooklyn Nets,9,PF,C,Inside-Out Scoring Threat,"6'8""",203,237,107,"7'2""",218,2726603,4,"November 9, 2000","Birmingham, Alabama",LSU
487,Trevelin Queen,United States,,Orlando Magic,12,SG,,Ball Hawk,"6'5""",196,190,86,"6'8""",203,,5,"February 25, 1997","Baltimore, Maryland",New Mexico State
488,Trey Jemison III,United States,,New Orleans Pelicans,55,C,,Paint Protector,"6'10""",208,260,117,"7'2""",218,,2,"November 28, 1999","Birmingham, Alabama",Alabama-Birmingham
489,Trey Lyles,Canada,,Sacramento Kings,41,PF,C,Stretch Four,"6'9""",206,234,105,"7'2""",218,8000000,10,"November 5, 1995","Saskatoon, Canada",Kentucky
490,Trey Murphy III,United States,,New Orleans Pelicans,25,SF,PF,3 & D Wing,"6'8""",203,206,93,"7'0""",213,5159854,4,"June 18, 2000","Durham, North Carolina",Virginia
491,Tristan da Silva,Germany,Brazil,Orlando Magic,23,PF,C,Stretch Four,"6'9""",206,229,103,"7'1""",216,3628440,1,"May 15, 2001","Munich, Germany",Colorado
492,Tristan Thompson,Canada,United States,Cleveland Cavaliers,13,C,,Board-Hunting Lob Threat,"6'9""",206,254,114,"7'1""",216,,14,"March 13, 1991","Toronto, Canada",Texas
493,Tristan Vukcevic,Serbia,,Washington Wizards,00,C,PF,Rim Protector,"6'10""",208,220,99,"7'3""",221,,2,"March 11, 2003","Siena, Italy",Serbia
494,Tristen Newton,United States,,Indiana Pacers,4,PG,SG,Steady Playmaker,"6'5""",196,190,86,"6'9""",206,,1,"April 26, 2001","Pensacola, Florida",UConn
495,Ty Jerome,United States,,Cleveland Cavaliers,2,PG,SG,Playmaking Sharpshooter,"6'5""",196,195,88,"6'4""",193,2560975,6,"July 8, 1997","New York, New York",Virginia
496,Tyler Herro,United States,,Miami Heat,14,SG,PG,Inside-Out Shot Creator,"6'5""",196,205,92,"6'3""",191,29000000,6,"January 20, 2000","Milwaukee, Wisconsin",Kentucky
497,Tyler Kolek,United States,,New York Knicks,13,PG,SG,Perimeter Threat,"6'3""",191,190,86,"6'7""",201,,1,"March 27, 2001","Cumberland, Rhode Island",Marquette
498,Tyler Smith,United States,,Milwaukee Bucks,15,PF,SF,3-Level Scoring Threat,"6'11""",211,224,101,"6'10""",208,1157153,1,"November 2, 2004","New Orleans, Louisiana",NBA G League Ignite
499,Tyrese Haliburton,United States,,Indiana Pacers,0,PG,SG,Offensive Architect,"6'5""",196,185,83,"6'8""",203,42176400,5,"February 29, 2000","Oshkosh, Wisconsin",Iowa State
500,Tyrese Maxey,United States,,Philadelphia 76ers,0,PG,SG,Offensive Architect,"6'2""",188,200,90,"6'7""",201,35147000,5,"November 4, 2001","Dallas, Texas",Kentucky
501,TyTy Washington,United States,,Phoenix Suns,14,PG,,Mid-Range Shot Creator,"6'3""",191,195,88,"6'7""",201,,3,"November 15, 2001","Phoenix, Arizona",Kentucky
502,Tyus Jones,United States,,Phoenix Suns,21,PG,,3-Level Scoring Playmaker,"6'1""",185,196,88,"6'5""",196,,10,"May 10, 1996","Apple Valley, Minnesota",Duke
503,Ulrich Chomche,Cameroon,,Toronto Raptors,16,C,PF,Rebounder,"6'11""",211,220,99,"7'3""",221,,1,"December 30, 2005","Bafang, Cameroon",NBA Academy Africa
504,Vasilije Micic,Serbia,,Charlotte Hornets,22,PG,SG,Playmaking Middy Specialist,"6'3""",191,203,91,"6'7""",201,7723000,11,"January 13, 1994","Kraljevo, Serbia",Serbia
505,Victor Wembanyama,France,,San Antonio Spurs,1,C,PF,Versatile Enforcer,"7'4""",224,210,95,"8'0""",244,12768960,2,"January 4, 2004","Le Chesnay, France",Metropolitans 92 (France)
506,Vince Williams Jr.,United States,,Memphis Grizzlies,5,SF,SG,3 & D Wing,"6'4""",193,205,92,"6'8""",203,2120693,3,"August 30, 2000","Toledo, Ohio",VCU
507,Vit Krejci,Czech Republic,,Atlanta Hawks,27,SF,SG,Catch & Shoot Threat,"6'8""",203,195,88,"7'0""",213,2162606,5,"January 12, 1998","Strakonice, Czech Republic","Basket Zaragoza (Liga ACB, Spain)"
508,Vlatko Cancar,Slovenia,,Denver Nuggets,31,PF,SF,Stretch Four,"6'8""",203,236,106,"6'11""",211,2087519,8,"April 10, 1997","Koper, Slovenia",Slovenia
509,,,,,,,,,,,,,,,,,,,
510,Wendell Carter Jr.,United States,,Orlando Magic,34,C,,3-Level Scoring Threat,"6'10""",208,270,122,"7'5""",226,11950000,7,"April 16, 1999","Atlanta, Georgia",Duke
511,Wendell Moore Jr.,United States,,Detroit Pistons,14,SG,SF,Inside-Out Scoring Threat,"6'5""",196,215,97,"6'9""",206,2537040,3,"September 18, 2001","Richmond, Virginia",Duke
512,Xavier Tillman,United States,,Boston Celtics,26,C,,Versatile Defender,"6'7""",201,245,110,"7'2""",218,2237691,5,"January 12, 1998","Grand Rapids, Michigan",Michigan State
513,Yves Missi,Cameroon,Belgium,New Orleans Pelicans,21,C,PF,Interior Threat,"7'0""",213,210,95,"7'4""",224,3193200,1,"May 14, 2004","Brussels, Belgium",Baylor
514,Zaccharie Risacher,France,,Atlanta Hawks,10,SF,SG,3 & D Threat,"6'10""",208,204,92,"7'2""",218,12569040,1,"April 8, 2005","Málaga, Spain","JL Bourg (LNB Pro A, France)"
515,Zach Collins,United States,,San Antonio Spurs,23,C,,3-Level Scoring Threat,"6'11""",211,250,113,"7'1""",216,16741200,8,"November 19, 1997","North Las Vegas, Nevada",Gonzaga
516,Zach Edey,Canada,,Memphis Grizzlies,14,C,,Interior Threat,"7'5""",226,305,137,"7'11""",241,5756880,1,"May 14, 2002","Toronto, Canada",Purdue
517,Zach LaVine,United States,,Chicago Bulls,8,SG,SF,Mid-Range Slasher,"6'5""",196,200,90,"6'8""",203,43031940,11,"March 10, 1995","Renton, Washington",UCLA
518,Zeke Nnaji,United States,,Denver Nuggets,22,C,PF,Mid-Range Scoring Threat,"6'9""",206,240,108,"7'2""",218,8888889,5,"January 9, 2001","Hopkins, Minnesota",Arizona
519,Ziaire Williams,United States,,Brooklyn Nets,1,SF,SG,Rim Attacker,"6'9""",206,185,83,"6'10""",208,6133005,4,"September 12, 2001","Lancaster, California",Stanford
520,Zion Williamson,United States,,New Orleans Pelicans,1,PF,C,Slashing Shot Creator,"6'6""",198,284,128,"6'10""",208,36725670,6,"July 6, 2000","Salisbury, North Carolina",Duke
